Pathway,Celltype,Cor,Enrich_Score,Padj
ALLOGRAFT REJECTION,Cancer Her2 SC,-0.506259460582959,0,> 0.05
ALLOGRAFT REJECTION,Cancer LumA SC,-0.481520057386433,0,> 0.05
ALLOGRAFT REJECTION,Cancer LumB SC,-0.491455053570024,-1.51043379956297,0.0321069496509786
ALLOGRAFT REJECTION,Cycling PVL,-0.160814003604421,0,> 0.05
ALLOGRAFT REJECTION,Cycling T-cells,-0.0652680767285541,0,0
ALLOGRAFT REJECTION,Cycling Myeloid,0.0838841804215423,0,> 0.05
ALLOGRAFT REJECTION,DCs,-0.400009923373192,0,> 0.05
ALLOGRAFT REJECTION,Endothelial ACKR1,-0.436844988512697,0,> 0.05
ALLOGRAFT REJECTION,Endothelial CXCL12,-0.624621946973462,0,> 0.05
ALLOGRAFT REJECTION,Endothelial Lymphatic LYVE1,-0.202126381762883,0,0
ALLOGRAFT REJECTION,Endothelial RGS5,-0.436813351934074,0,> 0.05
ALLOGRAFT REJECTION,Luminal Progenitors,-0.373791334732116,NA,> 0.05
ALLOGRAFT REJECTION,Macrophage,-0.130566870796002,0,> 0.05
ALLOGRAFT REJECTION,Mature Luminal,0.25085747455648,NA,> 0.05
ALLOGRAFT REJECTION,Monocyte,-0.181689704077238,0,> 0.05
ALLOGRAFT REJECTION,Myoepithelial,-0.00675247970763112,NA,> 0.05
ALLOGRAFT REJECTION,NK cells,-0.35394714355644,0,> 0.05
ALLOGRAFT REJECTION,NKT cells,-0.469355368918694,0,> 0.05
ALLOGRAFT REJECTION,Plasmablasts,-0.496453133642836,0,> 0.05
ALLOGRAFT REJECTION,PVL Differentiated,0.0730890015806449,0,> 0.05
ALLOGRAFT REJECTION,PVL Immature,-0.272246355452704,0,> 0.05
ALLOGRAFT REJECTION,T cells CD4+,-0.188496713836898,0,> 0.05
ALLOGRAFT REJECTION,T cells CD8+,-0.392766625518154,0,> 0.05
ANDROGEN RESPONSE,B cells Memory,0.492201691403976,0,> 0.05
ANDROGEN RESPONSE,B cells Naive,-0.0685412512890637,NA,> 0.05
ANDROGEN RESPONSE,CAFs MSC iCAF-like,-0.554291495234155,0,> 0.05
ANDROGEN RESPONSE,CAFs myCAF-like,0.194701479080762,0,> 0.05
ANDROGEN RESPONSE,Cancer Basal SC,0.0560029003971815,0,> 0.05
ANDROGEN RESPONSE,Cancer Cycling,0.250471119599372,0,> 0.05
ANDROGEN RESPONSE,Cancer Her2 SC,0.176840122419718,0,> 0.05
ANDROGEN RESPONSE,Cancer LumA SC,0.473906739035072,0,> 0.05
ANDROGEN RESPONSE,Cancer LumB SC,0.285293464602172,0,> 0.05
ANDROGEN RESPONSE,Cycling PVL,-0.206035385460837,0,> 0.05
ANDROGEN RESPONSE,Cycling T-cells,-0.191905946378358,0,0
ANDROGEN RESPONSE,Cycling Myeloid,0.314522644226875,0,> 0.05
ANDROGEN RESPONSE,DCs,0.479633919649789,0,> 0.05
ANDROGEN RESPONSE,Endothelial ACKR1,-0.0908983073564637,0,> 0.05
ANDROGEN RESPONSE,Endothelial CXCL12,0.0747703460294949,0,> 0.05
ANDROGEN RESPONSE,Endothelial Lymphatic LYVE1,0.016817599260702,0,0
ANDROGEN RESPONSE,Endothelial RGS5,-0.411812432258375,0,> 0.05
ANDROGEN RESPONSE,Luminal Progenitors,-0.188943033558759,NA,> 0.05
ANDROGEN RESPONSE,Macrophage,0.0393665631638931,0,> 0.05
ANDROGEN RESPONSE,Mature Luminal,-0.21483912167363,NA,> 0.05
ANDROGEN RESPONSE,Monocyte,0.163682935029344,0,> 0.05
ANDROGEN RESPONSE,Myoepithelial,-0.0156458116272768,NA,> 0.05
ANDROGEN RESPONSE,NK cells,-0.487454530428958,0,> 0.05
ANDROGEN RESPONSE,NKT cells,-0.199952634178221,0,> 0.05
ANDROGEN RESPONSE,Plasmablasts,-0.610882760279876,0,> 0.05
ANDROGEN RESPONSE,PVL Differentiated,-0.0658876182479324,0,> 0.05
ANDROGEN RESPONSE,PVL Immature,-0.235831110479443,0,> 0.05
ANDROGEN RESPONSE,T cells CD4+,-0.385823150165759,0,> 0.05
ANDROGEN RESPONSE,T cells CD8+,-0.0914379898103415,0,> 0.05
ANGIOGENESIS,B cells Memory,-0.321854319283411,0,> 0.05
ANGIOGENESIS,B cells Naive,-0.1795968476724,NA,> 0.05
ANGIOGENESIS,CAFs MSC iCAF-like,0.232377019941917,0,> 0.05
ANGIOGENESIS,CAFs myCAF-like,0.448533043467786,0,> 0.05
ANGIOGENESIS,Cancer Basal SC,0.00320926805218425,0,> 0.05
ANGIOGENESIS,Cancer Cycling,-0.164412343602273,0,> 0.05
ANGIOGENESIS,Cancer Her2 SC,-0.134824184801265,0,> 0.05
ANGIOGENESIS,Cancer LumA SC,-0.400882390044872,0,> 0.05
ANGIOGENESIS,Cancer LumB SC,-0.108102426029775,0,> 0.05
ANGIOGENESIS,Cycling PVL,0.388939441581035,0,> 0.05
ANGIOGENESIS,Cycling T-cells,-0.0861151590117804,0,0
ANGIOGENESIS,Cycling Myeloid,0.548412360533568,0,> 0.05
ANGIOGENESIS,DCs,0.0580959430215123,0,> 0.05
ANGIOGENESIS,Endothelial ACKR1,0.141866821684107,0,> 0.05
ANGIOGENESIS,Endothelial CXCL12,0.394152393238085,0,> 0.05
ANGIOGENESIS,Endothelial Lymphatic LYVE1,0.0109853766844632,0,0
ANGIOGENESIS,Endothelial RGS5,-0.178239055212763,0,> 0.05
ANGIOGENESIS,Luminal Progenitors,0.247210478644276,NA,> 0.05
ANGIOGENESIS,Macrophage,0.705842490037162,0,> 0.05
ANGIOGENESIS,Mature Luminal,0.301494551680658,NA,> 0.05
ANGIOGENESIS,Monocyte,0.246006663493402,0,> 0.05
ANGIOGENESIS,Myoepithelial,-0.212042649998346,NA,> 0.05
ANGIOGENESIS,NK cells,0.0645705195403164,0,> 0.05
ANGIOGENESIS,NKT cells,-0.0398679996102229,0,> 0.05
ANGIOGENESIS,Plasmablasts,0.249133830074535,0,> 0.05
ANGIOGENESIS,PVL Differentiated,0.307445234601863,0,> 0.05
ANGIOGENESIS,PVL Immature,0.241974083702978,0,> 0.05
ANGIOGENESIS,T cells CD4+,0.152680406820689,0,> 0.05
ANGIOGENESIS,T cells CD8+,0.186663110221203,0,> 0.05
APICAL JUNCTION,B cells Memory,-0.00255344929189631,0,> 0.05
APICAL JUNCTION,B cells Naive,-0.2207179045907,NA,> 0.05
APICAL JUNCTION,CAFs MSC iCAF-like,0.230129067305169,0,> 0.05
APICAL JUNCTION,CAFs myCAF-like,0.564509036798376,0,> 0.05
APICAL JUNCTION,Cancer Basal SC,0.549679407697349,0,> 0.05
APICAL JUNCTION,Cancer Cycling,0.525030434257566,0,> 0.05
APICAL JUNCTION,Cancer Her2 SC,-0.0364480032160602,0,> 0.05
APICAL JUNCTION,Cancer LumA SC,0.297141948537378,0,> 0.05
APICAL JUNCTION,Cancer LumB SC,0.356229776231128,0,> 0.05
APICAL JUNCTION,Cycling PVL,0.315309510790284,0,> 0.05
APICAL JUNCTION,Cycling T-cells,-0.186199504258176,0,0
APICAL JUNCTION,Cycling Myeloid,-0.102489929580302,0,> 0.05
APICAL JUNCTION,DCs,0.0201613384504191,0,> 0.05
APICAL JUNCTION,Endothelial ACKR1,-0.0501694740094013,0,> 0.05
APICAL JUNCTION,Endothelial CXCL12,0.303384859708089,0,> 0.05
APICAL JUNCTION,Endothelial Lymphatic LYVE1,0.481534103190197,0,0
APICAL JUNCTION,Endothelial RGS5,0.137753305162676,0,> 0.05
APICAL JUNCTION,Luminal Progenitors,0.04343965873002,NA,> 0.05
APICAL JUNCTION,Macrophage,-0.0986355359486717,0,> 0.05
APICAL JUNCTION,Mature Luminal,0.426972031378737,NA,> 0.05
APICAL JUNCTION,Monocyte,-0.147975880349581,0,> 0.05
APICAL JUNCTION,Myoepithelial,0.0250139538264718,NA,> 0.05
APICAL JUNCTION,NK cells,-0.16292934329594,0,> 0.05
APICAL JUNCTION,NKT cells,-0.0870011438349989,0,> 0.05
APICAL JUNCTION,Plasmablasts,0.154277810220659,0,> 0.05
APICAL JUNCTION,PVL Differentiated,0.157804389341127,0,> 0.05
APICAL JUNCTION,PVL Immature,0.100711672334181,0,> 0.05
APICAL JUNCTION,T cells CD4+,-0.0456444886642348,0,> 0.05
APICAL JUNCTION,T cells CD8+,-0.123590884798506,0,> 0.05
APICAL SURFACE,B cells Memory,0.0399042625440521,0,> 0.05
APICAL SURFACE,B cells Naive,-0.00488429186387523,NA,> 0.05
APICAL SURFACE,CAFs MSC iCAF-like,0.482194861396245,0,> 0.05
APICAL SURFACE,CAFs myCAF-like,0.535380876418372,0,> 0.05
APICAL SURFACE,Cancer Basal SC,0.406404183917203,0,> 0.05
APICAL SURFACE,Cancer Cycling,0.692945467620969,0,> 0.05
APICAL SURFACE,Cancer Her2 SC,-0.0561742211504982,0,> 0.05
APICAL SURFACE,Cancer LumA SC,0.802449317682224,0,> 0.05
APICAL SURFACE,Cancer LumB SC,0.630880527361942,0,> 0.05
APICAL SURFACE,Cycling PVL,0.543345151229895,0,> 0.05
APICAL SURFACE,Cycling T-cells,0.0319886127126594,0,0
APICAL SURFACE,Cycling Myeloid,-0.112780500108517,0,> 0.05
APICAL SURFACE,DCs,0.640873302726979,0,> 0.05
APICAL SURFACE,Endothelial ACKR1,0.471237402736984,0,> 0.05
APICAL SURFACE,Endothelial CXCL12,0.449009690548762,0,> 0.05
APICAL SURFACE,Endothelial Lymphatic LYVE1,0.0998845943207016,0,0
APICAL SURFACE,Endothelial RGS5,0.812296881393097,0,> 0.05
APICAL SURFACE,Luminal Progenitors,0.468788357954041,NA,> 0.05
APICAL SURFACE,Macrophage,0.582207234941068,0,> 0.05
APICAL SURFACE,Mature Luminal,0.532880410106733,NA,> 0.05
APICAL SURFACE,Monocyte,0.333344389441938,0,> 0.05
APICAL SURFACE,Myoepithelial,0.158436357993569,NA,> 0.05
APICAL SURFACE,NK cells,0.197836897729514,0,> 0.05
APICAL SURFACE,NKT cells,-0.123122720982483,0,> 0.05
APICAL SURFACE,Plasmablasts,0.565338517231917,0,> 0.05
APICAL SURFACE,PVL Differentiated,0.511124836361061,0,> 0.05
APICAL SURFACE,PVL Immature,0.344298883202098,0,> 0.05
APICAL SURFACE,T cells CD4+,0.175380117309187,0,> 0.05
APICAL SURFACE,T cells CD8+,0.00508456348112998,0,> 0.05
APOPTOSIS,B cells Memory,0.592965325181747,0,> 0.05
APOPTOSIS,B cells Naive,0.392854356131582,NA,> 0.05
APOPTOSIS,CAFs MSC iCAF-like,-0.0692300039263214,0,> 0.05
APOPTOSIS,CAFs myCAF-like,0.347076349315849,0,> 0.05
APOPTOSIS,Cancer Basal SC,-0.158380679872648,0,> 0.05
APOPTOSIS,Cancer Cycling,0.326464709320033,0,> 0.05
APOPTOSIS,Cancer Her2 SC,-0.0265223866449899,0,> 0.05
APOPTOSIS,Cancer LumA SC,0.437547888893601,0,> 0.05
APOPTOSIS,Cancer LumB SC,0.294760683842856,0,> 0.05
APOPTOSIS,Cycling PVL,0.368284379031017,0,> 0.05
APOPTOSIS,Cycling T-cells,0.106028751043439,0,0
APOPTOSIS,Cycling Myeloid,0.452753022212668,0,> 0.05
APOPTOSIS,DCs,0.694869102112143,0,> 0.05
APOPTOSIS,Endothelial ACKR1,-0.262771849178467,0,> 0.05
APOPTOSIS,Endothelial CXCL12,-0.321839978064845,0,> 0.05
APOPTOSIS,Endothelial Lymphatic LYVE1,-0.0379969752909322,0,0
APOPTOSIS,Endothelial RGS5,-0.195084197253614,0,> 0.05
APOPTOSIS,Luminal Progenitors,-0.161675214521521,NA,> 0.05
APOPTOSIS,Macrophage,0.532349007357831,0,> 0.05
APOPTOSIS,Mature Luminal,-0.209447527408711,NA,> 0.05
APOPTOSIS,Monocyte,0.247204614573527,0,> 0.05
APOPTOSIS,Myoepithelial,-0.079202032382694,NA,> 0.05
APOPTOSIS,NK cells,0.0664693401079026,0,> 0.05
APOPTOSIS,NKT cells,0.196651343130734,0,> 0.05
APOPTOSIS,Plasmablasts,-0.259570181505981,0,> 0.05
APOPTOSIS,PVL Differentiated,-0.10579525719962,0,> 0.05
APOPTOSIS,PVL Immature,-0.432719145037653,0,> 0.05
APOPTOSIS,T cells CD4+,0.253018032462766,0,> 0.05
APOPTOSIS,T cells CD8+,0.167355565193334,0,> 0.05
BILE ACID METABOLISM,B cells Memory,-0.323008511726366,0,> 0.05
BILE ACID METABOLISM,B cells Naive,0.174810219605483,NA,> 0.05
BILE ACID METABOLISM,CAFs MSC iCAF-like,-0.0489805404467879,0,> 0.05
BILE ACID METABOLISM,CAFs myCAF-like,-0.412944609794495,0,> 0.05
BILE ACID METABOLISM,Cancer Basal SC,-0.105049175325734,0,> 0.05
BILE ACID METABOLISM,Cancer Cycling,0.16458604770126,0,> 0.05
BILE ACID METABOLISM,Cancer Her2 SC,0.547437430379594,0,> 0.05
BILE ACID METABOLISM,Cancer LumA SC,0.184626185467569,0,> 0.05
BILE ACID METABOLISM,Cancer LumB SC,0.216551918359317,0,> 0.05
BILE ACID METABOLISM,Cycling PVL,-0.563488106259655,0,> 0.05
BILE ACID METABOLISM,Cycling T-cells,-0.126848549284217,0,0
BILE ACID METABOLISM,Cycling Myeloid,0.133243191283477,0,> 0.05
BILE ACID METABOLISM,DCs,-0.530055987451007,0,> 0.05
BILE ACID METABOLISM,Endothelial ACKR1,-0.0955461693465527,0,> 0.05
BILE ACID METABOLISM,Endothelial CXCL12,-0.450500901303983,0,> 0.05
BILE ACID METABOLISM,Endothelial Lymphatic LYVE1,-0.327210469355347,0,0
BILE ACID METABOLISM,Endothelial RGS5,-0.130873480220947,0,> 0.05
BILE ACID METABOLISM,Luminal Progenitors,-0.144194618066139,NA,> 0.05
BILE ACID METABOLISM,Macrophage,-0.514203617490407,0,> 0.05
BILE ACID METABOLISM,Mature Luminal,-0.598459160827973,NA,> 0.05
BILE ACID METABOLISM,Monocyte,-0.191879737602983,0,> 0.05
BILE ACID METABOLISM,Myoepithelial,0.00203796178257747,NA,> 0.05
BILE ACID METABOLISM,NK cells,0.153072431657973,0,> 0.05
BILE ACID METABOLISM,NKT cells,-0.0946347935979863,0,> 0.05
BILE ACID METABOLISM,Plasmablasts,0.273083637822029,0,> 0.05
BILE ACID METABOLISM,PVL Differentiated,-0.381681088810587,0,> 0.05
BILE ACID METABOLISM,PVL Immature,-0.441063440234083,0,> 0.05
BILE ACID METABOLISM,T cells CD4+,-0.0529649317422625,0,> 0.05
BILE ACID METABOLISM,T cells CD8+,-0.292473647471531,0,> 0.05
CHOLESTEROL HOMEOSTASIS,B cells Memory,-0.319834917114712,0,> 0.05
CHOLESTEROL HOMEOSTASIS,B cells Naive,-0.212436758311415,NA,> 0.05
CHOLESTEROL HOMEOSTASIS,CAFs MSC iCAF-like,0.151212646494381,0,> 0.05
CHOLESTEROL HOMEOSTASIS,CAFs myCAF-like,-0.0193489617984785,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cancer Basal SC,0.0320477169944016,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cancer Cycling,0.412104721071452,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cancer Her2 SC,0.262762670517119,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cancer LumA SC,0.432692590898286,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cancer LumB SC,0.360026781249953,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cycling PVL,0.428395483462597,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Cycling T-cells,0.223276684969488,0,0
CHOLESTEROL HOMEOSTASIS,Cycling Myeloid,0.115541526599715,0,> 0.05
CHOLESTEROL HOMEOSTASIS,DCs,0.348472758095852,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Endothelial ACKR1,-0.327184294987538,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Endothelial CXCL12,-0.674599610077568,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Endothelial Lymphatic LYVE1,-0.0435179112694313,0,0
CHOLESTEROL HOMEOSTASIS,Endothelial RGS5,-0.23108980480116,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Luminal Progenitors,-0.195956155857701,NA,> 0.05
CHOLESTEROL HOMEOSTASIS,Macrophage,0.0984911354296033,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Mature Luminal,-0.176182380752234,NA,> 0.05
CHOLESTEROL HOMEOSTASIS,Monocyte,0.127995525989261,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Myoepithelial,0.0931644172995435,NA,> 0.05
CHOLESTEROL HOMEOSTASIS,NK cells,-0.48818648312746,0,> 0.05
CHOLESTEROL HOMEOSTASIS,NKT cells,-0.102432552323892,0,> 0.05
CHOLESTEROL HOMEOSTASIS,Plasmablasts,-0.0946529218633766,0,> 0.05
CHOLESTEROL HOMEOSTASIS,PVL Differentiated,0.196904756173316,0,> 0.05
CHOLESTEROL HOMEOSTASIS,PVL Immature,-0.583863318674166,0,> 0.05
CHOLESTEROL HOMEOSTASIS,T cells CD4+,-0.280925532929995,0,> 0.05
CHOLESTEROL HOMEOSTASIS,T cells CD8+,-0.0633324428825499,0,> 0.05
COAGULATION,B cells Memory,-0.337314156320909,0,> 0.05
COAGULATION,B cells Naive,-0.221619595558701,NA,> 0.05
COAGULATION,CAFs MSC iCAF-like,0.161274389004413,0,> 0.05
COAGULATION,CAFs myCAF-like,0.304477010042766,0,> 0.05
COAGULATION,Cancer Basal SC,-0.0629272762479076,0,> 0.05
COAGULATION,Cancer Cycling,0.102731537771721,0,> 0.05
COAGULATION,Cancer Her2 SC,-0.250677335923489,0,> 0.05
COAGULATION,Cancer LumA SC,-0.251890207225739,0,> 0.05
COAGULATION,Cancer LumB SC,0.00268306337209058,0,> 0.05
COAGULATION,Cycling PVL,0.557716168380188,0,> 0.05
COAGULATION,Cycling T-cells,-0.158253202797808,0,0
COAGULATION,Cycling Myeloid,0.696752034995243,0,> 0.05
COAGULATION,DCs,-0.173408328740845,0,> 0.05
COAGULATION,Endothelial ACKR1,-0.462754468027167,0,> 0.05
COAGULATION,Endothelial CXCL12,0.171360265716029,0,> 0.05
COAGULATION,Endothelial Lymphatic LYVE1,-0.34273909755782,0,0
COAGULATION,Endothelial RGS5,-0.602085217006237,0,> 0.05
COAGULATION,Luminal Progenitors,-0.203439371153378,NA,> 0.05
COAGULATION,Macrophage,0.251016217794532,0,> 0.05
COAGULATION,Mature Luminal,0.412221369692702,NA,> 0.05
COAGULATION,Monocyte,-0.118583129858998,0,> 0.05
COAGULATION,Myoepithelial,-0.0348940399860368,NA,> 0.05
COAGULATION,NK cells,0.0614535055522975,0,> 0.05
COAGULATION,NKT cells,-0.179693220396193,0,> 0.05
COAGULATION,Plasmablasts,0.152247978406881,-1.74892346842129,0.00285928496393759
COAGULATION,PVL Differentiated,0.0878564258783849,0,> 0.05
COAGULATION,PVL Immature,-0.407481474414334,0,> 0.05
COAGULATION,T cells CD4+,-0.206778482849307,-1.56291761388783,0.0474057281572308
COAGULATION,T cells CD8+,0.0596139150219858,0,> 0.05
COMPLEMENT,B cells Memory,0.0515543766155627,0,> 0.05
COMPLEMENT,B cells Naive,-0.416066597061224,NA,> 0.05
COMPLEMENT,CAFs MSC iCAF-like,0.0324174783131821,0,> 0.05
COMPLEMENT,CAFs myCAF-like,0.0317002640503888,0,> 0.05
COMPLEMENT,Cancer Basal SC,0.424852865610054,0,> 0.05
COMPLEMENT,Cancer Cycling,0.240355254251203,0,> 0.05
COMPLEMENT,Cancer Her2 SC,-0.0236128103489154,0,> 0.05
COMPLEMENT,Cancer LumA SC,0.033185268872777,0,> 0.05
COMPLEMENT,Cancer LumB SC,0.216749990771719,0,> 0.05
COMPLEMENT,Cycling PVL,0.414588562871341,0,> 0.05
COMPLEMENT,Cycling T-cells,0.2561476653545,0,0
COMPLEMENT,Cycling Myeloid,0.427587994568576,0,> 0.05
COMPLEMENT,DCs,0.143706226611404,0,> 0.05
COMPLEMENT,Endothelial ACKR1,-0.427305479502554,0,> 0.05
COMPLEMENT,Endothelial CXCL12,-0.484138457473063,0,> 0.05
COMPLEMENT,Endothelial Lymphatic LYVE1,-0.381413703902669,0,0
COMPLEMENT,Endothelial RGS5,-0.244614200797819,0,> 0.05
COMPLEMENT,Luminal Progenitors,-0.531155857472386,NA,> 0.05
COMPLEMENT,Macrophage,0.0213749473270378,0,> 0.05
COMPLEMENT,Mature Luminal,0.0542867565329959,NA,> 0.05
COMPLEMENT,Monocyte,-0.168091998501831,0,> 0.05
COMPLEMENT,Myoepithelial,-0.168245101279506,NA,> 0.05
COMPLEMENT,NK cells,-0.116727596213405,0,> 0.05
COMPLEMENT,NKT cells,-0.642386888468904,0,> 0.05
COMPLEMENT,Plasmablasts,-0.120315281291455,0,> 0.05
COMPLEMENT,PVL Differentiated,0.215179947887201,0,> 0.05
COMPLEMENT,PVL Immature,-0.268957389324851,0,> 0.05
COMPLEMENT,T cells CD4+,0.0644692155988433,0,> 0.05
COMPLEMENT,T cells CD8+,-0.1536322988346,0,> 0.05
DNA REPAIR,B cells Memory,-0.426104375208925,0,> 0.05
DNA REPAIR,B cells Naive,-0.431966548032491,NA,> 0.05
DNA REPAIR,CAFs MSC iCAF-like,-0.0248218889586102,0,> 0.05
DNA REPAIR,CAFs myCAF-like,-0.0827835362630166,0,> 0.05
DNA REPAIR,Cancer Basal SC,-0.164921437437219,0,> 0.05
DNA REPAIR,Cancer Cycling,0.0189910876891422,0,> 0.05
DNA REPAIR,Cancer Her2 SC,-0.000936979507579405,0,> 0.05
DNA REPAIR,Cancer LumA SC,0.407923021163841,0,> 0.05
DNA REPAIR,Cancer LumB SC,0.084095687103163,0,> 0.05
DNA REPAIR,Cycling PVL,-0.253796631439442,0,> 0.05
DNA REPAIR,Cycling T-cells,0.0927308153312964,0,0
DNA REPAIR,Cycling Myeloid,0.22291405362699,0,> 0.05
DNA REPAIR,DCs,0.0476371026918187,0,> 0.05
DNA REPAIR,Endothelial ACKR1,-0.267191156282388,0,> 0.05
DNA REPAIR,Endothelial CXCL12,-0.415029728743121,0,> 0.05
DNA REPAIR,Endothelial Lymphatic LYVE1,0.235888705698622,0,0
DNA REPAIR,Endothelial RGS5,-0.073260481086307,0,> 0.05
DNA REPAIR,Luminal Progenitors,-0.543552399948253,NA,> 0.05
DNA REPAIR,Macrophage,-0.0944090701655833,0,> 0.05
DNA REPAIR,Mature Luminal,-0.546153128899122,NA,> 0.05
DNA REPAIR,Monocyte,-0.177433650504731,0,> 0.05
DNA REPAIR,Myoepithelial,-0.415178881062277,NA,> 0.05
DNA REPAIR,NK cells,-0.294471155141874,0,> 0.05
DNA REPAIR,NKT cells,-0.346268337608365,0,> 0.05
DNA REPAIR,Plasmablasts,-0.276787091506507,0,> 0.05
DNA REPAIR,PVL Differentiated,-0.482865069943539,0,> 0.05
DNA REPAIR,PVL Immature,-0.471110402821813,0,> 0.05
DNA REPAIR,T cells CD4+,-0.476814525485824,-1.67785739942749,0.00191893650188239
DNA REPAIR,T cells CD8+,-0.354590103731643,0,> 0.05
E2F TARGETS,B cells Memory,-0.318910574001511,0,> 0.05
E2F TARGETS,B cells Naive,-0.332551466525009,NA,> 0.05
E2F TARGETS,CAFs MSC iCAF-like,-0.707333565203931,0,> 0.05
E2F TARGETS,CAFs myCAF-like,-0.489022623984341,0,> 0.05
E2F TARGETS,Cancer Basal SC,-0.298099132029397,0,> 0.05
E2F TARGETS,Cancer Cycling,0.00684054962849058,0,> 0.05
E2F TARGETS,Cancer Her2 SC,0.00576029344655958,0,> 0.05
E2F TARGETS,Cancer LumA SC,-0.520296533992344,0,> 0.05
E2F TARGETS,Cancer LumB SC,-0.438059746243814,0,> 0.05
E2F TARGETS,Cycling PVL,-0.125279607350733,0,> 0.05
E2F TARGETS,Cycling T-cells,0.211037325066949,0,0
E2F TARGETS,Cycling Myeloid,0.348723119308045,0,> 0.05
E2F TARGETS,DCs,0.0599436535209669,0,> 0.05
E2F TARGETS,Endothelial ACKR1,-0.716554637507464,0,> 0.05
E2F TARGETS,Endothelial CXCL12,-0.647915414642546,0,> 0.05
E2F TARGETS,Endothelial Lymphatic LYVE1,0.12291873288141,0,0
E2F TARGETS,Endothelial RGS5,-0.206670030977756,0,> 0.05
E2F TARGETS,Luminal Progenitors,-0.4092739821245,NA,> 0.05
E2F TARGETS,Macrophage,-0.243386093421408,0,> 0.05
E2F TARGETS,Mature Luminal,-0.287800588224421,NA,> 0.05
E2F TARGETS,Monocyte,-0.210106931994625,0,> 0.05
E2F TARGETS,Myoepithelial,-0.0431199810263122,NA,> 0.05
E2F TARGETS,NK cells,-0.190540475742923,0,> 0.05
E2F TARGETS,NKT cells,-0.406870915923317,0,> 0.05
E2F TARGETS,Plasmablasts,0.193072434994982,0,> 0.05
